product_url,category,product_name,stock_type,brand,price,discount,sale_price,description,size_and_fit,detaila_and_care,product_code,
https://www.net-a-porter.com/en-in/shop/product/moncler/clothing/casual-jackets/leda-coated-poplin-jacket/1647597327274566,coats and jackets,Leda coated-poplin jacket,,MONCLER,"$1,368/ Approx. ₹114,262",0,"$1,368/ Approx. ₹114,262",Beige,"Every aspect of Moncler's 'Leda' jacket is well thought out to ensure practicality, and it still looks cool too. Made from poplin that's coated for a water-repellent finish, it has sizable utility pockets to secure essentials and a generous hood that packs into the funnel neck. The elasticated cuffs and adjustable hem keep out the elements.","Size & Fit
Size 0 = XS, 1 = S, 2 = M, 3 = L, 4 = XL, 5 = XXL, 6 = 3XL
Fits true to size, take your normal size
Designed for a relaxed fit
Lightweight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing the designer's size 1
Model measurements:
Bust: 79cm/ 31”
Waist: 61cm/ 24”
Hip: 85cm/ 33.5”
View size guide","Beige coated-poplin 
Concealed two-way zip fastening through front  
60% polyester, 40% cotton; lining: 100% polyester  
Hand wash or dry clean",1647597327274566
https://www.net-a-porter.com/en-in/shop/product/jean-paul-gaultier/clothing/casual-jackets/printed-denim-jacket/1647597333602594,coats and jackets,Printed denim jacket,,JEAN PAUL GAULTIER,"$1,126/ Approx. ₹94,054",0,"$1,126/ Approx. ₹94,054",Light blue,Jean Paul Gaultier's denim jacket is screenprinted with a logo across the back – the faded effect mimics a love-worn style. It's outlined with contrast topstitching and dotted with silver-tone buttons. Wear yours with jeans in the same light wash.,"Size & Fit
Fits true to size, take your normal size
Designed for a slightly loose fit
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a size XSmall
Model  measurements:
Bust: 79cm/ 31""
Waist: 64cm/ 25""
Hip: 92cm/ 36""
View size guide","Light-blue denim 
Button fastenings through front 
100% cotton  
Machine wash",1647597333602594
https://www.net-a-porter.com/en-in/shop/product/burberry/clothing/trench-coats/faux-fur-trimmed-checked-cotton-gabardine-trench-coat/1647597325160826,coats and jackets,Faux fur-trimmed checked cotton-gabardine trench coat,,BURBERRY,"$5,058/ Approx. ₹422,493",0,"$5,058/ Approx. ₹422,493",Green,Burberry's Resort '24 collection is just further proof that Daniel Lee has the creative vision to ace the re-invention of signature house codes. The Creative Director's interpretation of the iconic trench coat features a fresh take on the recognizable checked pattern. It's made from cotton-gabardine and has a faux fur collar and particularly long epaulettes.,"Size & Fit
Fits true to size, take your normal size
Designed for a loose fit, use the belt to cinch in at the waist
Mid-weight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a UK 8
View size guide","Multicolored cotton-gabardine, emerald faux fur  
Button fastenings through double breasted front  
100% cotton; trim: 86% modacrylic, 14% polyester; lining1: 100% cotton; lining2: 100% viscose 
Dry clean",1647597325160826
https://www.net-a-porter.com/en-in/shop/product/abadia/clothing/evening/crinkled-voile-jacket/1647597335363385,coats and jackets,Crinkled-voile jacket,RUNWAY,ABADIA,"$891/ Approx. ₹74,425",0,"$891/ Approx. ₹74,425",Silver,"Abadia's jacket flowed effortlessly down the Spring '24 runway. Inspired by a traditional Arabian bisht worn for ceremonial occasions, it's made from voile that has a beautiful, crinkled texture and has an open front framed by billowy wide sleeves. Slip yours on over one of the label's gowns.","Size & Fit
Comfortably fits those who are between a size XSmall-Large and all body shapes
Lightweight, non-stretchy fabric
Model is 175cm/ 5'9"" and normally wears a size Small
Model measurements:
Bust: 81cm/ 32""
Waist: 65cm/ 25.5""
Hip: 92cm/ 36""
Product measurements:
Bust:
100cm
/ 39.4in
Hip:
140cm
/ 55.1in
Length:
136cm
/ 53.5in
Waist:
120cm
/ 47.2in","Silver crinkled-voile 
Slips on 
100% polyester 
Dry clean",1647597335363385
https://www.net-a-porter.com/en-in/shop/product/liberowe/clothing/smart/plus-net-sustain-raja-linen-blazer/1647597344395188,coats and jackets,+ NET SUSTAIN Raja linen blazer,,LIBEROWE,"$1,839/ Approx. ₹153,611",0,"$1,839/ Approx. ₹153,611",White,"Described by our Market Director Libby Page as ""the best jackets you'll ever wear,"" LIBEROWE's 'Raja' is the style that kick-started the brand. Inspired by designer Talia Loubaton's travels around India as well as Catherine Deneuve in the French movie Manon 70, this version has been tailored in London from breathable linen and has elegant, covered buttons.","Size & Fit
Fits true to size, take your normal size
The model is wearing a size larger to achieve a relaxed fit
Designed for a slim fit
Internal shoulder pads
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9 and is wearing a size Medium""
View size guide","Ecru linen
 
Button fastenings through front
 
100% linen; lining: 100% viscose
 
Green dry clean",1647597344395188
https://www.net-a-porter.com/en-in/shop/product/loewe/clothing/casual-jackets/plus-paula-s-ibiza-hooded-cropped-leather-trimmed-printed-denim-jacket/1647597335543007,coats and jackets,+ Paula's Ibiza hooded cropped leather-trimmed printed denim jacket,Low stock,LOEWE,"$2,066/ Approx. ₹172,572",0,"$2,066/ Approx. ₹172,572",Blue,Few collaborations signal the start of summer quite like Loewe + Paula's Ibiza. This hooded jacket is cut from printed denim and finished with a logo-embossed leather patch at the hem. The cropped shape works perfectly with the matching high-rise jeans.,"Size & Fit
Fits true to size, take your normal size
Designed for a relaxed fit
Cropped length
Mid-weight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a FR 36
Model measurements:
Bust: 81cm/ 32”
Waist: 65cm/ 25.5”
Hip: 92cm/ 36.5”
View size guide","Tonal-blue denim 
Button fastenings through front 
100% cotton; 100% leather (Calf) 
Machine wash or dry clean",1647597335543007
https://www.net-a-porter.com/en-in/shop/product/the-row/clothing/trench-coats/montrose-oversized-double-breasted-belted-cotton-and-linen-blend-trench-coat/1647597332737683,coats and jackets,Montrose oversized double-breasted belted cotton and linen-blend trench coat,Low stock,THE ROW,"$5,058/ Approx. ₹422,493",0,"$5,058/ Approx. ₹422,493",Beige,"The Row's oversized 'Montrose' trench coat comes in a classic, double-breasted style that recalls similar old Hollywood silhouettes. Made from cotton and linen-blend, it's designed for an unstructured fit and features button tabs that add a touch of elegance. Use the detachable belt to cinch the shape.","Size & Fit
Fits true to size, however those who are between sizes should take the smaller size
Designed for an oversized fit, cut to be worn very loose
Use the tie belt to cinch in at the waist
Lightweight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a size Small
View size guide","Beige cotton and linen-blend 
Button fastenings through double-breasted front  
75% cotton, 25% linen; lining: 100% cotton",1647597332737683
https://www.net-a-porter.com/en-in/shop/product/burberry/clothing/blazers/checked-wool-blazer/1647597325160788,coats and jackets,Checked wool blazer,,BURBERRY,"$4,545/ Approx. ₹379,642",0,"$4,545/ Approx. ₹379,642",Yellow,"Burberry Creative Director Daniel Lee reinterprets the house's iconic check with an oversized version on this wool blazer. It's been tailored in Italy with peak lapels and nips in slightly at the waist, where it fastens with a single horn button. Pair it with the matching pants.","Size & Fit
Fits true to size, however those who are between sizes should take the smaller size
Designed for a slim fit
Internal shoulder pads
Mid-weight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a UK 6
Model measurements:
Bust: 79cm/ 31""
Waist: 61cm/ 24""
Hip: 89cm/ 35""
View size guide","Tonal-beige and gray wool 
Button fastening at front 
100% wool; buttons: 100% horn (Buffalo); lining: 100% viscose 
Dry clean",1647597325160788
https://www.net-a-porter.com/en-in/shop/product/the-row/clothing/blazers/azul-wool-blazer/1647597332748449,coats and jackets,Azul wool blazer,,THE ROW,"$4,631/ Approx. ₹386,826",0,"$4,631/ Approx. ₹386,826",Burgundy,"The Row pays special attention to cut and fabric, ensuring its tailoring looks particularly smart and stays that way for years to come. This 'Azul' blazer has been made from burgundy wool for an oversized fit and has a wrap-effect front and smooth satin lining. Wear yours as a matching set with the 'Antone' pants.","Size & Fit
Fits true to size, however those who are between sizes should take the smaller size
Intended for an oversized fit, cut to be worn very loose
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a size XSmall
View size guide","Burgundy wool 
Partially concealed button fastenings through double-breasted front 
100% virgin wool; buttons: 100% horn (Buffalo); lining: 100% silk 
Dry clean",1647597332748449
https://www.net-a-porter.com/en-in/shop/product/loro-piana/clothing/blazers/ananda-double-breasted-wool-twill-blazer/1647597333105909,coats and jackets,Ananda double-breasted wool-twill blazer,,LORO PIANA,"$4,810.07/ Approx. ₹401,783",0,"$4,810.07/ Approx. ₹401,783",Stone,"Loro Piana's 'Ananda' blazer is a style you'll have in your closet for years. Tailored from wool-twill in a classic double-breasted shape, it has peak lapels and padded shoulders. The seamed, fold-over pockets are a unique detail that show the brand's thoughtful craftsmanship.","Size & Fit
Fits true to size, take your normal size
Designed for a loose fit
Internal shoulder pads
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing an IT 40
View size guide","Beige and light-brown wool-twill 
Button fastenings through double-breasted front 
100% wool; buttons: 100% horn (Buffalo); lining: 100% silk 
Dry clean 
Designer color: Japanese Stone",1647597333105909
https://www.net-a-porter.com/en-in/shop/product/jean-paul-gaultier/clothing/casual-jackets/two-tone-denim-jacket/1647597333602595,coats and jackets,Two-tone denim jacket,,JEAN PAUL GAULTIER,"$1,639/ Approx. ₹136,905",0,"$1,639/ Approx. ₹136,905",Blue,"Jean Paul Gaultier reimagines the staple denim jacket with contrasting white panels. Inspired by trucker styles, it has flap pockets and a relaxed fit. Go full on and wear yours with matching jeans.","Size & Fit
Fits true to size, take your normal size
Designed for a loose fit
Mid-weight, non-stretchy denim
Model is 177cm/ 5'10"" and is wearing a size Small
Model measurements:
Bust: 79cm/ 31""
Waist: 61cm/ 24""
Hip: 89cm/ 35""
View size guide","Blue and white denim 
Button fastenings through front 
100% cotton 
Machine wash",1647597333602595
https://www.net-a-porter.com/en-in/shop/product/burberry/clothing/casual-jackets/quilted-crinkled-shell-jacket/1647597325160922,coats and jackets,Quilted crinkled-shell jacket,,BURBERRY,"$3,063/ Approx. ₹256,031",0,"$3,063/ Approx. ₹256,031",Ivory,"Burberry's jacket has been made in Italy from lightly crinkled-shell that's quilted in a wavy motif for a distinctive contrasting texture. It has dramatically dropped shoulders and tapering ribbed trims that create a relaxed fit, so it's easy to layer over virtually anything. Complement the subtle blue enamel buttons with tonal gloves or a hat.","Size & Fit
Fits true to size, take your normal size
Designed for a relaxed fit
Ribbed hem
Quilted, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a size XSmall
View size guide","Ecru crinkled-shell  
Partially concealed button fastenings through front  
100% polyamide; trim: 89% polyester, 9% polyamide, 2% elastane 
Machine wash  
Designer color: Soap",1647597325160922
https://www.net-a-porter.com/en-in/shop/product/burberry/clothing/trench-coats/kensington-organic-cotton-gabardine-trench-coat/1647597325109273,coats and jackets,Kensington organic cotton-gabardine trench coat,,BURBERRY,"$3,690/ Approx. ₹308,182",0,"$3,690/ Approx. ₹308,182",Neutral,"Trench coat pioneer Thomas Burberry developed the house's eponymous gabardine fabric in 1879, and a beautiful lineup of iterations has followed since. Made in England from organic cotton, the 'Kensington' style has all the hallmarks of the original including military-inspired epaulettes, a storm flap and, of course, the iconic checked lining. Layer yours up or down - it'll be a trustee companion for the long haul.","Size & Fit
Fits true to size, take your normal size
Take the next size up if you wish to achieve a looser fit for layering
Designed for a slightly loose fit, use the belt to cinch in at the waist
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a UK 8
Model measurements:
Bust: 81cm/ 32""
Waist: 64cm/ 25""
Hip: 89cm/ 35""
View size guide","Beige organic cotton-gabardine 
Button fastenings through double-breasted front 
100% organic cotton; buttons: 100% horn (Buffalo); body lining: 100% cotton; sleeve lining: 100% viscose 
Dry clean 
Designer color: Honey",1647597325109273
https://www.net-a-porter.com/en-in/shop/product/loro-piana/clothing/blazers/pinstriped-linen-wool-and-silk-blend-blazer/1647597333105844,coats and jackets,"Pinstriped linen, wool and silk-blend blazer",,LORO PIANA,"$4,416.04/ Approx. ₹368,870",0,"$4,416.04/ Approx. ₹368,870",Navy,"Loro Piana's blazer is made from a blend of linen, wool and silk in a deep navy shade with contrasting light-gray pinstripes. Designed in Italy for a relaxed fit, it has padded shoulders for added structure and a back vent for easy movement. Layer yours over blouses or the brand's sumptuous knitwear.","Size & Fit
Fits true to size, take your normal size
Designed for a slightly loose fit
Internal shoulder pads
Mid-weight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing an IT 40
View size guide","Navy and light-gray linen, wool and silk-blend 
Button fastenings through front 
55% linen, 37% virgin wool, 8% silk; sleeve lining: 100% silk 
Dry clean 
Designer color: Blue Still Water",1647597333105844
https://www.net-a-porter.com/en-in/shop/product/nili-lotan/clothing/blazers/vira-double-breasted-wool-twill-blazer/1647597333458085,coats and jackets,Vira double-breasted wool-twill blazer,,NILI LOTAN,"$1,801/ Approx. ₹150,437",0,"$1,801/ Approx. ₹150,437",Black,"Nili Lotan's 'Vira' blazer is tailored in an elegant double-breasted style. Shaped by sharp padded shoulders, it's made from wool-twill and features peak lapels and gold-tone buttons detailed with the brand's crest. Dress yours down with a pair of jeans from the label.","Size & Fit
Fits true to size, take your normal size
Tailored for a slim fit
Mid-weight, non-stretchy fabric
Model is 180cm/ 5'11"" and is wearing a US 2
View size guide","Black wool-twill 
Button fastenings through double-breasted front 
100% virgin wool",1647597333458085
https://www.net-a-porter.com/en-in/shop/product/barbour/sport/outerwear/ingleby-double-breasted-belted-corduroy-trimmed-cotton-canvas-trench-coat/1647597333880873,coats and jackets,Ingleby double-breasted belted corduroy-trimmed cotton-canvas trench coat,,BARBOUR,"$506/ Approx. ₹42,296",0,"$506/ Approx. ₹42,296",Cream,"Barbour takes a modern approach to the classic trench coat with this 'Ingleby' style, which is just as at home in the countryside or city. Made from two-tone cotton-canvas in a traditional double-breasted design, it has corduroy trims, including shoulder epaulettes and buckled cuff tabs. Use the belt to cinch your waist.","Size & Fit
Fits true to size, take your normal size
Designed for a loose fit, use the belt to cinch in at the waist
Heavy-duty, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a UK 8
Model measurements:
Bust: 79cm/ 31""
Waist: 61cm/ 24""
Hip: 89cm/ 35""
View size guide","Ivory and beige cotton-canvas, brown corduroy 
Button fastenings through double-breasted front 
100% cotton 
Hand wash",1647597333880873
https://www.net-a-porter.com/en-in/shop/product/khaite/clothing/blazers/jacobson-two-tone-leather-trimmed-crepe-blazer/1647597333193213,coats and jackets,Jacobson two-tone leather-trimmed crepe blazer,RUNWAY,KHAITE,"$4,559/ Approx. ₹380,812",0,"$4,559/ Approx. ₹380,812",Brown,"The tailoring throughout Khaite's Spring '24 collection feels particularly sharp, especially in contrast to the many fluidly draped designs. This crepe 'Jacobson' blazer has black leather trims highlighting the dramatic peak lapels and a single flap pocket. The padded shoulders give the longline shape nice structure.","Size & Fit
Fits true to size, take your normal size
Designed for a loose fit
Internal shoulder pads
Mid-weight, slightly stretchy fabric
Model is 180cm/ 5’11” and is wearing a US 4
View size guide","Brown crepe, black leather 
Button fastenings through front  
75% viscose, 25% polyamide  
Designer color: Toffee",1647597333193213
https://www.net-a-porter.com/en-in/shop/product/burberry/clothing/casual-jackets/corduroy-trimmed-quilted-shell-jacket/1647597325109272,coats and jackets,Corduroy-trimmed quilted shell jacket,,BURBERRY,"$1,924/ Approx. ₹160,711",0,"$1,924/ Approx. ₹160,711",Camel,"Burberry's signature quilted jackets are versatile and lightweight without sacrificing warmth, so you're guaranteed to reach for yours time and again. This one is made from durable shell trimmed with black cotton-corduroy and lined with checked cotton. It has oversized pockets and a logo-debossed rubber patch at the sleeve.","Size & Fit
Fits true to size, take your normal size
Those with broad shoulders may wish to take the next size up
Tailored for a slim fit
Quilted, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a size Small
Model measurements:
Bust: 78cm/ 31""
Waist: 62cm/ 24.5""
Hip: 92cm/ 36""
View size guide","Camel shell, black cotton-corduroy 
Snap fastenings through front 
100% polyester; trim: 100% cotton; filling: 100% polyester; lining: 100% cotton 
Dry clean",1647597325109272
https://www.net-a-porter.com/en-in/shop/product/khaite/clothing/casual-jackets/ross-oversized-denim-jacket/1647597325519180,coats and jackets,Ross oversized denim jacket,,KHAITE,"$1,397/ Approx. ₹116,691",0,"$1,397/ Approx. ₹116,691",Blue,Khaite's oversized 'Ross' jacket has a cool '90s feel. It's made from denim in a deep blue wash and will layer easily over chunky sweaters and graphic tees.,"Size & Fit
Fits true to size, however those who are between sizes should take the smaller size
Designed for an oversized fit, cut to be worn very loose
Mid-weight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a size Small
View size guide","Dark-blue denim  
Button fastenings through front  
100% cotton 
Designer wash: Archer",1647597325519180
https://www.net-a-porter.com/en-in/shop/product/the-frankie-shop/clothing/statement/micky-cropped-faux-leather-bomber-jacket/1647597332130383,coats and jackets,Micky cropped faux leather bomber jacket,,THE FRANKIE SHOP,"$620/ Approx. ₹51,788",0,"$620/ Approx. ₹51,788",Black,"The Frankie Shop's 'Micky' bomber jacket is the perfect length for showing off high-rise jeans or pants. It's made from supple faux leather with strong padded shoulders, a baseball-style collar and cropped hem. Wear yours with a pencil skirt and heels.","Size & Fit
Fits true to size, take your normal size
Intended for a boxy fit, cut to be worn loose
Internal shoulder pads
Cropped length
Supple, non-stretchy leather
Model is 180cm/ 5'11"" and is wearing a size Small
Model measurements:
Bust: 78.7cm/ 31""
Waist: 62.2cm/ 24.5""
Hip: 86.4cm/ 34""
View size guide","Black faux leather 
Two-way zip fastening through front 
100% polyurethane; lining: 100% polyester 
Dry clean",1647597332130383
https://www.net-a-porter.com/en-in/shop/product/loewe/clothing/casual-jackets/anagram-appliqued-denim-jacket/1647597325144796,coats and jackets,Anagram appliquéd denim jacket,TRENDING NOW,LOEWE,"$2,066/ Approx. ₹172,572",0,"$2,066/ Approx. ₹172,572",Blue,Loewe's classic denim jacket is appliquéd with the brand's recognisable 'Anagram' emblem at the elbows. It's cut for a slim fit and detailed with a leather-stamped logo patch at the waistband. The dark wash will be easy to style year-round.,"Size & Fit
Fits true to size, take your normal size
Those with a curvy figure may wish to take the next size up
Designed for a slim fit
Mid-weight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a FR 36
View size guide","Dark-blue denim 
Button fastenings through front 
100% cotton 
Machine wash",1647597325144796
